"time","v_C","v_S"
0.1446,0.9999820744240325,1
0.1447,0.9999824825056767,1
0.1448,0.9999829043834597,1
0.1449,0.9999833391916126,1
0.145,0.9999837860369273,1
0.1451,0.9999842439987561,1
0.1452,0.9999847121290126,1
0.1453,0.9999851894521714,1
0.1454,0.999985687128691,1
0.1455,0.9999862030129745,1
0.1456,0.9999867287634151,1
0.1457,0.9999872635689706,1
0.1458,0.9999878065992296,1
0.1459,0.9999883570044122,1
0.146,0.9999889139153695,1
0.1461,0.9999894764435832,1
0.1462,0.9999900436811665,1
0.1463,0.9999906147008636,1
0.1464,0.9999911885560496,1
0.1465,0.9999917642807308,1
0.1466,0.9999923408895444,1
0.1467,0.9999929173777585,1
0.1468,0.999993492721273,1
0.1469,0.9999940658766179,1
0.147,0.9999946357809547,1
0.1471,0.9999952013520761,1
0.1472,0.9999957614884055,1
0.1473,0.9999963150689978,1
0.1474,0.9999968609535382,1
0.1475,0.9999974108769147,1
0.1476,0.9999979802982741,1
0.1477,0.999998545520918,1
0.1478,0.9999991058451608,1
0.1479,0.9999996605673107,1
0.148,1.00000020897967,1
0.1481,1.000000750370535,1
0.1482,1.000001284024194,1
0.1483,1.000001809220931,1
0.1484,1.000002325237023,1
0.1485,1.000002831344739,1
0.1486,1.000003326812345,1
0.1487,1.000003810904098,1
0.1488,1.000004282880249,1
0.1489,1.000004741997045,1
0.149,1.000005187506722,1
0.1491,1.000005618657515,1
0.1492,1.00000603469365,1
0.1493,1.000006434855346,1
0.1494,1.000006818378818,1
0.1495,1.000007184496271,1
0.1496,1.000007535254827,1
0.1497,1.000007901665534,1
0.1498,1.000008254690843,1
0.1499,1.000008594019701,1
0.15,1.000008919351175,1
0.1501,1.000009230394449,1
0.1502,1.000009526868831,1
0.1503,1.000009808503744,1
0.1504,1.000010075038733,1
0.1505,1.000010326223463,1
0.1506,1.000010561817718,1
0.1507,1.000010781591401,1
0.1508,1.000010985324535,1
0.1509,1.000011172807261,1
0.151,1.000011343839843,1
0.1511,1.000011498232662,1
0.1512,1.000011635806218,1
0.1513,1.000011756391133,1
0.1514,1.000011859828147,1
0.1515,1.000011945968119,1
0.1516,1.00001201467203,1
0.1517,1.000012065810977,1
0.1518,1.00001211065586,1
0.1519,1.000012142599221,1
0.152,1.000012159622325,1
0.1521,1.000012161915139,1
0.1522,1.00001214969189,1
0.1523,1.000012123191378,1
0.1524,1.000012082677294,1
0.1525,1.000012028438523,1
0.1526,1.000011960789462,1
0.1527,1.00001188007033,1
0.1528,1.000011786647482,1
0.1529,1.000011680913717,1
0.153,1.000011563288592,1
0.1531,1.000011434218735,1
0.1532,1.000011294178155,1
0.1533,1.000011143668557,1
0.1534,1.00001098321965,1
0.1535,1.00001081338946,1
0.1536,1.000010634764645,1
0.1537,1.000010447960802,1
0.1538,1.000010253622784,1
0.1539,1.000010043900923,1
0.154,1.000009819216228,1
0.1541,1.000009585878925,1
0.1542,1.000009344347917,1
0.1543,1.00000909509726,1
0.1544,1.000008838616121,1
0.1545,1.000008575408748,1
0.1546,1.000008305994431,1
0.1547,1.000008030907469,1
0.1548,1.00000775069713,1
0.1549,1.000007465927624,1
0.155,1.000007177178058,1
0.1551,1.000006885042406,1
0.1552,1.000006590129473,1
0.1553,1.000006293062856,1
0.1554,1.000005994480917,1
0.1555,1.000005695036734,1
0.1556,1.000005395398079,1
0.1557,1.000005096247375,1
0.1558,1.000004798281662,1
0.1559,1.000004502212562,1
0.156,1.000004203810322,1
0.1561,1.00000389572747,1
0.1562,1.000003588331007,1
0.1563,1.000003282061917,1
0.1564,1.000002977358648,1
0.1565,1.000002674656696,1
0.1566,1.000002374388196,1
0.1567,1.000002076981508,1
0.1568,1.0000017828608,1
0.1569,1.000001492445638,1
0.157,1.000001206150569,1
0.1571,1.000000924384716,1
0.1572,1.000000647551351,1
0.1573,1.000000376047495,1
0.1574,1.000000110263497,1
0.1575,0.9999998505826208,1
0.1576,0.9999995973806343,1
0.1577,0.9999993510253958,1
0.1578,0.9999991118764388,1
0.1579,0.999998880284559,1
0.158,0.9999986565914025,1
0.1581,0.9999984406966349,1
0.1582,0.9999982250125998,1
0.1583,0.9999980164808573,1
0.1584,0.9999978152365661,1
0.1585,0.9999976213950585,1
0.1586,0.9999974350512351,1
0.1587,0.9999972562789567,1
0.1588,0.9999970851304394,1
0.1589,0.9999969216356466,1
0.159,0.9999967658016831,1
0.1591,0.9999966176121888,1
0.1592,0.9999964770267313,1
0.1593,0.9999963439802,1
0.1594,0.9999962183821999,1
0.1595,0.9999961001164437,1
0.1596,0.9999959890401465,1
0.1597,0.999995884983419,1
0.1598,0.9999957877486599,1
0.1599,0.9999956971099513,1
0.16,0.9999956128124505,1
0.1601,0.9999955345717838,1
0.1602,0.99999546207344,1
0.1603,0.9999954068139415,1
0.1604,0.9999953622151686,1
0.1605,0.9999953254256368,1
0.1606,0.9999952963041923,1
0.1607,0.9999952746917627,1
0.1608,0.9999952604110864,1
0.1609,0.9999952532664446,1
0.161,0.9999952530433887,1
0.1611,0.9999952595084727,1
0.1612,0.9999952724089815,1
0.1613,0.9999952914726619,1
0.1614,0.9999953164074524,1
0.1615,0.9999953469012135,1
0.1616,0.9999953826214566,1
0.1617,0.9999954232150756,1
0.1618,0.9999954683080762,1
0.1619,0.9999955175053054,1
0.162,0.9999955703901824,1
0.1621,0.9999956265244285,1
0.1622,0.9999956854477967,1
0.1623,0.9999957466778021,1
0.1624,0.999995817670699,1
0.1625,0.9999958989622794,1
0.1626,0.9999959841517498,1
0.1627,0.9999960729660274,1
0.1628,0.9999961651238591,1
0.1629,0.9999962603358957,1
0.163,0.9999963583047621,1
0.1631,0.9999964587251311,1
0.1632,0.9999965612837949,1
0.1633,0.9999966656597383,1
0.1634,0.9999967715242086,1
0.1635,0.9999968785407917,1
0.1636,0.9999969863654801,1
0.1637,0.9999970946467482,1
0.1638,0.9999972030256236,1
0.1639,0.9999973111357586,1
0.164,0.9999974186035041,1
0.1641,0.9999975250479799,1
0.1642,0.9999976300811486,1
0.1643,0.9999977333078871,1
0.1644,0.9999978343260587,1
0.1645,0.9999979363520444,1
0.1646,0.9999980461517718,1
0.1647,0.9999981552540375,1
0.1648,0.9999982634938293,1
0.1649,0.9999983707131264,1
0.165,0.9999984767612773,1
0.1651,0.9999985814953755,1
0.1652,0.9999986847806367,1
0.1653,0.9999987864907761,1
0.1654,0.9999988865083844,1
0.1655,0.9999989847253054,1
0.1656,0.9999990810430121,1
0.1657,0.9999991753729836,1
0.1658,0.9999992676370831,1
0.1659,0.9999993577679331,1
0.166,0.9999994457092931,1
0.1661,0.9999995314164367,1
0.1662,0.9999996148565266,1
0.1663,0.9999996960089944,1
0.1664,0.999999774865915,1
0.1665,0.9999998514323842,1
0.1666,0.9999999256331199,1
0.1667,0.9999999937894228,1
0.1668,1.000000058989717,1
0.1669,1.000000121221028,1
0.167,1.000000180481448,1
0.1671,1.00000023678042,1
0.1672,1.000000290139031,1
0.1673,1.000000340590306,1
0.1674,1.000000388179489,1
0.1675,1.000000432964347,1
0.1676,1.000000475015447,1
0.1677,1.000000514416458,1
0.1678,1.000000551264431,1
0.1679,1.000000585670101,1
0.168,1.000000617758166,1
0.1681,1.000000647667587,1
0.1682,1.000000675551872,1
0.1683,1.000000701579372,1
0.1684,1.000000725933565,1
0.1685,1.000000748813356,1
0.1686,1.000000770433355,1
0.1687,1.000000791024179,1
0.1688,1.000000803646129,1
0.1689,1.000000811964876,1
0.169,1.000000818034011,1
0.1691,1.000000821962157,1
0.1692,1.000000823865781,1
0.1693,1.000000823869269,1
0.1694,1.000000822105011,1
0.1695,1.00000081871347,1
0.1696,1.000000813843268,1
0.1697,1.000000807651261,1
0.1698,1.000000800302618,1
0.1699,1.000000791970896,1
0.17,1.000000782838125,1
0.1701,1.000000773094881,1
0.1702,1.000000762940366,1
0.1703,1.000000752582486,1
0.1704,1.00000074223793,1
0.1705,1.000000732132246,1
0.1706,1.000000722499923,1
0.1707,1.000000713584467,1
0.1708,1.000000705638479,1
0.1709,1.000000693897118,1
0.171,1.000000677400393,1
0.1711,1.000000660572089,1
0.1712,1.00000064350126,1
0.1713,1.000000626276157,1
0.1714,1.000000608984079,1
0.1715,1.000000591711228,1
0.1716,1.00000057454255,1
0.1717,1.000000557561594,1
0.1718,1.000000540850354,1
0.1719,1.000000524489122,1
0.172,1.000000508556342,1
0.1721,1.00000049312845,1
0.1722,1.000000478279734,1
0.1723,1.000000464082177,1
0.1724,1.000000450605311,1
0.1725,1.000000437916063,1
0.1726,1.000000426078608,1
0.1727,1.000000415154217,1
0.1728,1.000000405201108,1
0.1729,1.000000396274295,1
0.173,1.000000387248823,1
0.1731,1.000000375515991,1
0.1732,1.000000364291177,1
0.1733,1.000000353596023,1
0.1734,1.000000343450501,1
0.1735,1.000000333872917,1
0.1736,1.000000324879907,1
0.1737,1.00000031648644,1
0.1738,1.000000308705818,1
0.1739,1.000000301549673,1
0.174,1.000000295027968,1
0.1741,1.000000289149001,1
0.1742,1.000000283919398,1
0.1743,1.000000279344121,1
0.1744,1.00000027542646,1
0.1745,1.000000272168039,1
0.1746,1.000000269568813,1
0.1747,1.000000267627069,1
0.1748,1.000000266339427,1
0.1749,1.000000265700837,1
0.175,1.000000265704582,1
0.1751,1.000000266342275,1
0.1752,1.000000263151864,1
0.1753,1.000000260096714,1
0.1754,1.000000257170522,1
0.1755,1.000000254360954,1
0.1756,1.000000251655676,1
0.1757,1.000000249042352,1
0.1758,1.000000246508649,1
0.1759,1.000000244042231,1
0.176,1.000000241630764,1
0.1761,1.000000239261913,1
0.1762,1.000000236923344,1
0.1763,1.000000234602722,1
0.1764,1.000000232287712,1
0.1765,1.00000022996598,1
0.1766,1.000000227625191,1
0.1767,1.000000225253011,1
0.1768,1.000000222837105,1
0.1769,1.000000220365138,1
0.177,1.000000217824776,1
0.1771,1.000000215203684,1
0.1772,1.000000212489527,1
0.1773,1.000000209669971,1
0.1774,1.000000206732681,1
0.1775,1.000000203665323,1
0.1776,1.000000200455562,1
0.1777,1.000000197091063,1
0.1778,1.000000193559492,1
0.1779,1.000000189848515,1
0.178,1.000000185945795,1
0.1781,1.000000181839,1
0.1782,1.000000177515793,1
0.1783,1.000000172963842,1
0.1784,1.00000016817081,1
0.1785,1.000000163124364,1
0.1786,1.000000157812169,1
0.1787,1.00000015222189,1
0.1788,1.000000146341192,1
0.1789,1.000000140157742,1
0.179,1.000000133659203,1
0.1791,1.000000126833243,1
0.1792,1.000000119667525,1
0.1793,1.000000112149716,1
0.1794,1.000000107655696,1
0.1795,1.000000106764442,1
0.1796,1.000000106000433,1
0.1797,1.000000105363668,1
0.1798,1.000000104854148,1
0.1799,1.000000104471872,1
0.18,1.00000010421684,1
0.1801,1.000000104089053,1
0.1802,1.000000104088511,1
0.1803,1.000000104215212,1
0.1804,1.000000104469159,1
0.1805,1.000000104850349,1
0.1806,1.000000105358785,1
0.1807,1.000000105994464,1
0.1808,1.000000106757388,1
0.1809,1.000000107647556,1
0.181,1.000000108664969,1
0.1811,1.000000109809626,1
0.1812,1.000000111081527,1
0.1813,1.000000112480673,1
0.1814,1.000000114007064,1
0.1815,1.000000115660698,1
0.1816,1.000000117441577,1
0.1817,1.000000119349701,1
0.1818,1.000000121385069,1
0.1819,1.000000123547682,1
0.182,1.000000125837538,1
0.1821,1.00000012825464,1
0.1822,1.000000130798985,1
0.1823,1.000000133470575,1
0.1824,1.00000013626941,1
0.1825,1.000000139195489,1
0.1826,1.000000142248812,1
0.1827,1.00000014542938,1
0.1828,1.000000148737192,1
0.1829,1.000000152172248,1
0.183,1.000000155734549,1
0.1831,1.000000159424095,1
0.1832,1.000000163240885,1
0.1833,1.000000167184919,1
0.1834,1.000000171256198,1
0.1835,1.000000175454721,1
0.1836,1.000000179780488,1
0.1837,1.000000180735732,1
0.1838,1.000000181548923,1
0.1839,1.00000018232361,1
0.184,1.000000183059793,1
0.1841,1.000000183757472,1
0.1842,1.000000184416647,1
0.1843,1.000000185037317,1
0.1844,1.000000185619484,1
0.1845,1.000000186163146,1
0.1846,1.000000186668304,1
0.1847,1.000000187134958,1
0.1848,1.000000187563107,1
0.1849,1.000000187952753,1
0.185,1.000000188303894,1
0.1851,1.000000188616532,1
0.1852,1.000000188890665,1
0.1853,1.000000189126294,1
0.1854,1.000000189323418,1
0.1855,1.000000189482039,1
0.1856,1.000000189602156,1
0.1857,1.000000189683768,1
0.1858,1.000000189726876,1
0.1859,1.00000018973148,1
0.186,1.00000018969758,1
0.1861,1.000000189625175,1
0.1862,1.000000189514267,1
0.1863,1.000000189364854,1
0.1864,1.000000189176937,1
0.1865,1.000000188950516,1
0.1866,1.000000188685591,1
0.1867,1.000000188382162,1
0.1868,1.000000188040228,1
0.1869,1.000000187659791,1
0.187,1.000000187240849,1
0.1871,1.000000186783403,1
0.1872,1.000000186287452,1
0.1873,1.000000185752998,1
0.1874,1.00000018518004,1
0.1875,1.000000184568577,1
0.1876,1.00000018391861,1
0.1877,1.00000018323014,1
0.1878,1.000000182503164,1
0.1879,1.000000181737685,1
0.188,1.000000180933701,1
0.1881,1.000000180091214,1
